"","rule","precision","recall"
"55","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.19657074,0.25627527
"56","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.18802015,0.26747658
"57","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.17435016,0.2610056
"58","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.1463934,0.57637129
"59","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.14410777,0.58820052
"60","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.13992902,0.58438031
"","rule","precision","recall"
"1","<{clc.CPU_status_DOWN},{clc.BD_incorrect_version_telegram_channel}>",0.25833333,0.108809513
"2","<{clc.BD_incorrect_version_telegram_channel,clc.CPU_status_DOWN},{clc.BD_incorrect_version_telegram_channel}>",0.25,0.046904753
"3","<{clc.BD_incorrect_version_telegram_channel},{clc.BD_incorrect_version_telegram_channel}>",0.16103175,0.16103175
"4","<{clc.CPU_status_DOWN},{clc.CPU_status_DOWN}>",0.01666667,0.01666667
"","rule","precision","recall"
"1","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.37,0.018550394
"2","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.3,0.007977216
"3","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.3,0.007977216
"4","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.24333333,0.062037037
"5","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.22333333,0.053111564
"6","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.22119242,0.22119242
"7","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.2,0.036111113
"8","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.2,0.036111113
"9","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.005977216
"10","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.005977216
"11","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.005977216
"12","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.005977216
"13","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.15046296,0.032978437
"14","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.14685185,0.032978437
"15","<{clc.BD_status_MISSING},{clc.BD_status_MISSING}>",0.12763222,0.12763222
"16","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.BD_status_MISSING}>",0.12,0.013871636
"17","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.11851852,0.11740741
"18","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.11740741,0.11740741
"19","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.10846272,0.023233665
"20","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.10667701,0.023233665
"21","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.10653964,0.023233665
"22","<{clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.10475393,0.023233665
"23","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.1,0.019444443
"24","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.1,0.019444443
"25","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.1,0.019444443
"26","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.1,0.019444443
"27","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.07732919,0.07540611
"28","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.07732919,0.07540611
"29","<{clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.07540611,0.07540611
"30","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.07540611,0.07540611
"31","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.07334368,0.05925926
"32","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.07334368,0.05925926
"33","<{clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.07206163,0.05925926
"34","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.07206163,0.05925926
"35","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.06388889,0.07540611
"36","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.06388889,0.07540611
"37","<{clc.BD_status_MISSING},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.0384058,0.012839355
"38","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.BD_status_MISSING}>",0.03,0.045
"39","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.01818182,0.02222222
"40","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.01212121,0.0173913
"","rule","precision","recall"
"1","<{node.node_DOWN},{node.node_DOWN}>",0.38545845,0.38545845
"2","<{node.unit.unit_DOWN},{node.node_DOWN}>",0.03333333,0.000952381
